C,estimator,kernel,learning_rate,max_depth,max_score,mean_score,min_samples_leaf,min_samples_split,min_score,n_estimators,n_neighbors,penalty,std_score
,RandomForest,,,2,0.8962101636520241,0.8726672408842951,,2,0.8552971576227391,60,,,0.017263573910883477
,RandomForest,,,2,0.8962101636520241,0.8726672408842951,,3,0.8552971576227391,60,,,0.017263573910883477
,RandomForest,,,2,0.8962101636520241,0.8726672408842951,,4,0.8552971576227391,60,,,0.017263573910883477
,RandomForest,,,2,0.8936261843238588,0.8732414585127763,,2,0.8518518518518519,100,,,0.017069095904826106
,RandomForest,,,2,0.8936261843238588,0.8732414585127763,,4,0.8518518518518519,100,,,0.017069095904826106
,RandomForest,,,2,0.8936261843238588,0.8732414585127763,,3,0.8518518518518519,100,,,0.017069095904826106
,KNN,,,,0.8901808785529716,0.8797014068331898,,,0.8647717484926787,,17,,0.01084002131992701
,RandomForest,,,2,0.8863049095607235,0.8611828883146714,,2,0.8440999138673557,20,,,0.01814359612358232
,RandomForest,,,2,0.8863049095607235,0.8611828883146714,,3,0.8440999138673557,20,,,0.01814359612358232
,RandomForest,,,2,0.8863049095607235,0.8611828883146714,,4,0.8440999138673557,20,,,0.01814359612358232
,KNN,,,,0.8854435831180018,0.8690783807062877,,,0.8540051679586563,,19,,0.012867152363075843
,KNN,,,,0.8807062876830318,0.8686477174849268,,,0.847114556416882,,21,,0.015262743451050224
0.3,LogisticRegression,,,,0.8617571059431525,0.8541487223657765,,,0.8496985357450474,,,l2,0.0054057336732020594
0.4,LogisticRegression,,,,0.8617571059431525,0.854292276772897,,,0.8505598621877691,,,l2,0.005278431326686853
0.25,LogisticRegression,,,,0.8617571059431525,0.8545793855871375,,,0.85099052540913,,,l2,0.005075414737198909
0.45,LogisticRegression,,,,0.8613264427217916,0.8537180591444158,,,0.8492678725236865,,,l2,0.0054057336732020594
0.55,LogisticRegression,,,,0.8613264427217916,0.8535745047372955,,,0.8492678725236865,,,l2,0.005492715035805059
0.9500000000000001,LogisticRegression,,,,0.8608957795004306,0.8530002871088143,,,0.8488372093023255,,,l2,0.005585723932915201
0.9000000000000001,LogisticRegression,,,,0.8608957795004306,0.8532873959230548,,,0.8492678725236865,,,l2,0.005382811731051549
0.7000000000000001,LogisticRegression,,,,0.8608957795004306,0.8532873959230548,,,0.8488372093023255,,,l2,0.005405733673202038
0.6500000000000001,LogisticRegression,,,,0.8608957795004306,0.853430950330175,,,0.8492678725236865,,,l2,0.005290130856356063
0.6000000000000001,LogisticRegression,,,,0.8608957795004306,0.8535745047372955,,,0.8492678725236865,,,l2,0.005203723502840011
0.5,LogisticRegression,,,,0.8608957795004306,0.8532873959230548,,,0.8492678725236865,,,l2,0.005382811731051549
0.7500000000000001,LogisticRegression,,,,0.8608957795004306,0.8531438415159345,,,0.8488372093023255,,,l2,0.005492715035805036
0.8,LogisticRegression,,,,0.8608957795004306,0.8532873959230548,,,0.8492678725236865,,,l2,0.005382811731051549
0.35000000000000003,LogisticRegression,,,,0.8608957795004306,0.853861613551536,,,0.8501291989664083,,,l2,0.004977012869181644
0.2,LogisticRegression,,,,0.8608957795004306,0.8544358311800172,,,0.8505598621877691,,,l2,0.004598224914742151
0.8500000000000001,LogisticRegression,,,,0.8608957795004306,0.8531438415159345,,,0.8488372093023255,,,l2,0.005492715035805036
0.8,LogisticRegression,,,,0.8604651162790697,0.8521389606660924,,,0.8466838931955211,,,l1,0.005981242221073682
0.8500000000000001,LogisticRegression,,,,0.8604651162790697,0.8519954062589722,,,0.8462532299741602,,,l1,0.006114137076958601
0.9000000000000001,LogisticRegression,,,,0.8604651162790697,0.8521389606660924,,,0.8466838931955211,,,l1,0.005981242221073682
0.7500000000000001,LogisticRegression,,,,0.8604651162790697,0.8522825150732127,,,0.847114556416882,,,l1,0.005852373560332872
0.7000000000000001,LogisticRegression,,,,0.8604651162790697,0.8522825150732127,,,0.847114556416882,,,l1,0.005852373560332872
0.9500000000000001,LogisticRegression,,,,0.8604651162790697,0.8521389606660924,,,0.8466838931955211,,,l1,0.005981242221073682
0.15000000000000002,LogisticRegression,,,,0.8604651162790697,0.8551536032156187,,,0.8518518518518519,,,l2,0.0037926628807415526
0.1,LogisticRegression,,,,0.8600344530577089,0.8548664944013781,,,0.85099052540913,,,l2,0.003803514584981861
0.6500000000000001,LogisticRegression,,,,0.8600344530577089,0.8519954062589722,,,0.8466838931955211,,,l1,0.005781518968016733
0.45,LogisticRegression,,,,0.8600344530577089,0.8518518518518517,,,0.8453919035314384,,,l1,0.006100640069157546
0.5,LogisticRegression,,,,0.8600344530577089,0.8519954062589722,,,0.8458225667527993,,,l1,0.005950152677594802
0.55,LogisticRegression,,,,0.8600344530577089,0.8518518518518517,,,0.8453919035314384,,,l1,0.006100640069157546
0.6000000000000001,LogisticRegression,,,,0.8600344530577089,0.8517082974447315,,,0.8458225667527993,,,l1,0.006053163549327586
0.05,LogisticRegression,,,,0.8600344530577089,0.8551536032156187,,,0.85099052540913,,,l2,0.003726889171905611
0.4,LogisticRegression,,,,0.859603789836348,0.8517082974447315,,,0.8453919035314384,,,l1,0.005908445485861806
0.3,LogisticRegression,,,,0.8591731266149871,0.8507034165948895,,,0.8449612403100775,,,l1,0.006114137076958652
0.35000000000000003,LogisticRegression,,,,0.8591731266149871,0.8508469710020098,,,0.8445305770887166,,,l1,0.006144396944884531
0.25,LogisticRegression,,,,0.8587424633936261,0.8505598621877691,,,0.8453919035314384,,,l1,0.005852373560332872
