,estimator,min_score,mean_score,max_score,std_score,C,alpha,gamma,kernel,lambda,learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,n_jobs,n_neighbors,penalty,subsample
918,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.6,0.8999999999999999,,0.0,0.1,3,,,150,4,,,0.5
1089,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.8999999999999999,0.8999999999999999,,0.8999999999999999,0.1,3,,,150,4,,,0.5
801,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.3,0.8999999999999999,,0.8999999999999999,0.1,3,,,150,4,,,0.5
927,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.6,0.8999999999999999,,0.3,0.1,3,,,150,4,,,0.5
792,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.3,0.8999999999999999,,0.6,0.1,3,,,150,4,,,0.5
936,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.6,0.8999999999999999,,0.6,0.1,3,,,150,4,,,0.5
945,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.6,0.8999999999999999,,0.8999999999999999,0.1,3,,,150,4,,,0.5
639,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.0,0.8999999999999999,,0.3,0.1,3,,,150,4,,,0.5
630,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.0,0.8999999999999999,,0.0,0.1,3,,,150,4,,,0.5
1071,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.8999999999999999,0.8999999999999999,,0.3,0.1,3,,,150,4,,,0.5
1062,XGBoost,0.9672637639402637,0.9849142838570929,0.9952717926347316,0.012543349537897326,,0.8999999999999999,0.8999999999999999,,0.0,0.1,3,,,150,4,,,0.5
66,BaggedDecisionTree,0.9705651749550481,0.9848773290875564,0.9920941212430106,0.010120342657458564,,,,,,,,,,60,,,,
447,GradientBoosting,0.9692331583192944,0.9848089517497943,0.9926409819269824,0.011013808106332424,,,,,,0.8944444444444445,3,,,80,,,,
261,GradientBoosting,0.9674203518725415,0.9848079727097451,0.994826199013147,0.012342368660287628,,,,,,0.2611111111111111,2,,,140,,,,
467,GradientBoosting,0.9668075278582903,0.9847555645471147,0.9947325362539793,0.012717571340073635,,,,,,1.0,2,,,80,,,,
414,GradientBoosting,0.9668876749360538,0.9847154913707713,0.9943570505986626,0.01262016257464275,,,,,,0.788888888888889,3,,,35,,,,
407,GradientBoosting,0.966711629331718,0.9846961026998217,0.9938440383375584,0.012717578488328754,,,,,,0.788888888888889,2,,,80,,,,
347,GradientBoosting,0.9673618862007858,0.9846826726561356,0.9945073746903564,0.012284484728601766,,,,,,0.5777777777777778,2,,,80,,,,
354,GradientBoosting,0.9664765621221391,0.9845986884572494,0.9942664481078639,0.012823849598874549,,,,,,0.5777777777777778,3,,,35,,,,
446,GradientBoosting,0.969055630225659,0.9844801900909591,0.9926801162679415,0.010914076053069599,,,,,,0.8944444444444445,3,,,65,,,,
406,GradientBoosting,0.9652314564215785,0.984443101962235,0.9950656418291577,0.013610025886318208,,,,,,0.788888888888889,2,,,65,,,,
436,GradientBoosting,0.9660323712657253,0.9844305651479028,0.9945364008721579,0.01303053666880337,,,,,,0.8944444444444445,2,,,65,,,,
317,GradientBoosting,0.9663240510354354,0.9844103237183215,0.9944958755001221,0.012817216926724762,,,,,,0.4722222222222222,2,,,80,,,,
288,GradientBoosting,0.9670906833145273,0.9844009178896714,0.9941146402496881,0.012270664488507887,,,,,,0.36666666666666664,2,,,95,,,,
477,GradientBoosting,0.9692268577397708,0.9843727333177424,0.9952385006242948,0.01104206763546594,,,,,,1.0,3,,,80,,,,
466,GradientBoosting,0.9652796373238177,0.9843653149509696,0.9954331522396341,0.01355293174223932,,,,,,1.0,2,,,65,,,,
238,GradientBoosting,0.9672092824585009,0.9843266641632011,0.9940947021375882,0.012144027003150776,,,,,,0.15555555555555556,3,,,95,,,,
444,GradientBoosting,0.9651156369450418,0.9841832145182678,0.9949979449834226,0.013523318070825421,,,,,,0.8944444444444445,3,,,35,,,,
260,GradientBoosting,0.9670637205403896,0.9840306496568837,0.9939493857577707,0.012054529359932552,,,,,,0.2611111111111111,2,,,125,,,,
384,GradientBoosting,0.9657647819471347,0.9840163653645204,0.9950800158169508,0.013002448985787781,,,,,,0.6833333333333333,3,,,35,,,,
476,GradientBoosting,0.9671623060788177,0.984010638924981,0.9952511126393906,0.012133461350895566,,,,,,1.0,3,,,65,,,,
478,GradientBoosting,0.9692210204381534,0.9838837701589728,0.9944164939933424,0.010692545917121174,,,,,,1.0,3,,,95,,,,
465,GradientBoosting,0.9647883774321396,0.9838648260671765,0.9943765250337371,0.013512483667242132,,,,,,1.0,2,,,50,,,,
